Variety,All Planted Acreage (Acres) 2020,All Planted Acreage (Acres) 2021,Harvested Acreage (Acres) 2020,Harvested Acreage (Acres) 2021,Yield per Harvested Acre (Tons/Acre) 2020,Yield per Harvested Acre (Tons/Acre) 2021,Production (Tons) 2020,Production (Tons) 2021,Price per Ton (Dollars) 2020,Price per Ton (Dollars) 2021,Value of Production (Dollars) 2020,Value of Production (Dollars) 2021,
Albariño,139,143,136,107,3,2,397,235,1647,1906,655,455,
Cabernet Franc,343,344,321,323,3,2,852,778,2432,2097,2073,1605, 
Cabernet Sauvignon,1539,1592,1524,1560,3,2,3881,2633,2333,2600,9054,6814,
Chardonnay,2610,2724,2186,2291,3,3,5534,7825,2371,2700,13125,20714,
Gamay ,136,138,84,97,2,2,139,245,2291,2701,318,657,
Gewürztraminer,150,151,145,150,3,2,363,248,1450,1800,527,445,
Malbec,286,302,278,273,2,3,534,836,2076,2000,1108,1664,
Merlot,762,817,746,808,2,2,1596,1858,1911,2100,3050,3939,
Pinot Blanc,237,251,221,239,3,4,650,932,1800,2166,1170,2010,
Pinot Gris,5460,5740,4745,5485,3,3,13853,19299,1514,1663,20976,31931,
Pinot Noir,23552,25123,18939,23707,2,3,36883,69936,2300,2600,84829,180953,
Riesling,457,490,437,469,3,3,1423,1401,1400,1533,1992,2136,
Syrah,1633,1739,1557,1657,3,2,4058,3745,2352,2298,9545,8563,
Tempranillo,376,398,356,365,2,3,802,1003,2116,2029,1697,2052,
Viognier,390,398,361,392,3,2,887,657,1713,1841,1519,1220,
Other4,1461,1550,1284,1161,3,3,3290,3046,1903,2048,6261,6207,
Total5,39531,41899,33320,39084,2,3,75142,114677,2000,2211,157900,271364,
,,,,,,,,,,,,,
,   ,   ,,   ,,,,,,,,,
